polarity,word
-1,استغلال
-1,بعيدة
-1,نقصت
-1,ارجو
-1,مزيد
-1,معد 
-1,ماحبيت
-1,ينقصها
-1,محترقه
-1,باهت
-1,باهته
-1,كذاب
-1,كذابين
-1,كذب
-1,فاضي
-1,صياعه
-1,استعراض
-1,محدوده
-1,صغير
-1,كبدي
-1,خامله
-1,اذيه
-1,سلامات
-1,اختربت
-1,أتمنى
-1,للتهيئه
-1,ابرك
-1,معبد
-1,مستنقع
-1,خطره
-1,الاقتراب
-1,افسد
-1,اقتراح
-1,مزحوم
-1,مستغرب
-1,معليش
-1,نامس
-1,ترقيم
-1,مايناسب
-1,تخب
-1,زبايل
-1,تطفش
-1,ماترتاح
-1,ناشف
-1,اعتذار
-1,تبرج
-1,ماش
-1,ماتقدم
-1,مايصير
-1,نقترح
-1,واقترح
-1,نرجو
-1,للحر
-1,للأسف
-1,ماتت
-1,العطش
-1,بس 
-1,أجانب
-1,غبار
-1,حار
-1,متهالك
-1,تهالكت
-1,غربان
-1,صارمه
-1,منتبهين
-1,وتمنيت
-1,الامراض
-1,"البكتيرياء"
-1,دايم
-1,يطردونا
-1,تقليص
-1,مصديه
-1,بالصراصير
-1,المادي
-1,النظر
-1,بيض
-1,نسيت
-1,يخز
-1,تجبرني
-1,لا تحوي
-1,ما ادخل
-1,موسيقه
-1,تفاجئت
-1,مالحقنا
-1,كفائتهم
-1,منكرات
-1,لابد 
-1,بطيئه
-1,ينظفون
-1,غرقانين
-1,الحر
-1,لا يعقل
-1,دخان 
-1,ليس 
-1,مغلق
-1,لا تؤهله
-1,غيرت
-1,مغلقه
-1,مجهول
-1,جنبها
-1,تستثمر
-1,نطمح
-1,ذيك
-1,مغلقه 
-1,جراد
-1,ذباب
-1,مؤذيه
-1,الحلاوه
-1,وجود
-1,فئران
-1,بالحشرات
-1,وعر
-1,"الرجاء "
-1,مواقف
-1,مسكره
-1,مسكرة
-1,أدب
-1,غريبة
-1,وحده
-1,ظني
-1,لاتطاق
-1,كسولة
-1,شدة 
-1,ماهي 
-1,ومااحس
-1,درجه
-1,معتنى
-1, معنا 
-1,للغاية
-1,حاد
-1,وياليت 
-1,للغايه
-1,بزيارتو
-1,للشحاثة
-1,حطة
-1,تعجب
-1,سبق
-1,لاتنظف
-1,مخيفه
-1,مايشيل
-1,مقارنة
-1,مندثرة
-1,لاتستحو
-1,تتسكر
-1,ضحكه
-1,وخوف
-1,مطحلبه
-1,اشواك
-1,الشوك
-1,لايظهر
-1,صحراوي
-1,تمرض
-1,غلطه
-1,الكآبه
-2,عيبها
-2,يعيبها
-2,عيب
-2,تحتاج 
-2,غير 
-2,ماينفع
-2,ماتنفع
-2,لايوجد
-2,ياليت
-2,مستهترين
-2,مستهتره
-2,مستهتر
-2,يفترض
-2,اسوا
-2,مالها
-2,تبتلش
-2,تبلش
-2,تتوهق
-2,مغلق
-2,انتحال
-2,تضيع
-2,منفسه
-2,حاجة
-2,حاجه
-2,مليان
-2,تقهر
-2,يقهر
-2,مالحقت
-2,ماكفانا
-2,ماكفتنا
-2,همج
-2,همجي
-2,همجيين
-2,اسلوب 
-2,تفتقر
-2,تفتقد
-2,عيبه
-2,سيئ
-2,ميت
-2,لاتعليق
-2,هريانه
-2,بائس
-2,طعوس
-2,طعس
-2,الغالي
-2,اغلي
-2,افسدت
-2,شح
-2,دايخ
-2,اسف
-2,اسفه
-2,نجمتين
-2,"لغلاء"
-2,فوضى
-2,يتسحي
-2,تستحي
-2,مايستحق
-2,مزعج
-2,مزعجه
-2,مزعجين
-2,ضيق
-2,صغر
-2,صغير
-2,مااشوفه
-2,مايسوي
-2,ولاشي
-2, نفتك
-2,هبل
-2,اهبل
-2,مخجل
-2,نجمه 
-2,زحمة
-2,يخربون
-2,مقلب
-2,مليت
-2,مملة
-2,الازم
-2,خروف
-2,متخلف
-2,متخلفة
-2,رخم
-2,رخامة
-2,غالي
-2,غالية
-2,زهقت
-2,زهق
-2,حاقد
-2,حاقدة
-2,التكرار
-2,مايهتم 
-2,ازعاج
-2,اسخف
-2,تدخين
-2,مدخنين
-2,رخمة
-2,سطحي
-2,سطحية
-2,نفسة
-2,نفسه
-2,صجة
-2,ضجة
-2,قرف
-2,بالغلط
-2,غلطانين
-2,تجنب
-2,حشرات
-2,ضيقة
-2,كئيب
-2,كابه
-2,عتبي
-2,يمنع
-2,يكرهون 
-2,يكره
-2,يكرهك
-2,ابوكلب
-2,ناقصه
-2,غثيث
-2,ماكان
-2,ضاع
-2,حوسه
-2,افسد 
-2,الازعاج
-2,فوضويه
-2,الوساخة
-2,تقفلونه
-2,اطب
-2,الخطأ
-2,همهم
-2,لايمت
-2,يعاب 
-2,دشره
-2,أموال
-2,مهمله
-2,واسطه
-2,توسط
-2,"ضوضاء"
-2,ممله
-2,يؤذي
-2,يجبرونك
-2,سرقات
-2,داعي
-2,ماله 
-2,ننصدم
-2,نصب
-2,مستحيل
-2,غلطت
-2,ننتظر
-2,ضيعت 
-2,جرف 
-2,القهر
-2,يقهرون
-2,مهمل
-2,فضيع
-2,فوضوية
-2,الابتذال
-2,المبالغات
-2,قلت 
-2,تتقلص
-2,زحام
-2,عشوائية
-2,ماجازلي
-2,بالعقول
-2,فساد
-2,سذاجه
-2,مزدحمة
-2,بطيئ 
-2,ماحبينا
-2,بذاك
-2,اتوقعته
-2,ساذج
-2,ساذجه
-2,فشل
-2,لايليق
-2,عيبهم
-2,الغبية
-2,المخالفين
-2,السائبة
-2,معيبا
-2,مرعب
-2,مرعبة
-2,قذر
-2,جنون
-2,احباط 
-2,تفشلتوا
-2,"سوداء"
-2,حسره
-2,نكبه
-2,نكره
-2,كريه
-2,اوجاع
-2,كريهه
-2,مرض
-2,تأخير
-2,تدهور
-2,قاسي
-2,قاسيه
-2,مايشجع
-2,بثاره
-2,مليق
-2,مبزره
-2,الضغط
-2,مضروب
-2,ضئيل
-2, نجمه
-2,الموسيقى
-2,مزعجة
-2,نتعب
-2,ليست
-2,مهدمة
-2,كسول
-2,كسوله
-2,مهجورة
-2,ناقصها
-2,زعلنا
-2,خربوه
-2,الاهمال
-2,ياكريه
-2,للسقوط
-2,مارحمت
-2,يبغالها
-2,وع
-2,سخيفه
-2,صعوبتها
-2,رايحه
-2,قلق
-2,تغضب
-2,بس لو
-2,هدم
-2,مكلف 
-2,كثيره 
-2,يحسفك
-2,مجاري
-2,تعب
-2,يحتاج 
-2,جشع
-2,يستغل
-2,استهبال
-2,انعدام
-2,تطعيس
-2,ماتساعد
-2,يقلدون
-2,تقليد
-2,اعيب
-2,افتقار
-2,افتقد
-2,تغضب
-2,الطمع
-2,طمع
-2,نوسخ
-2,يتزاحم
-2,"غلاء "
-2,ماتكون
-2,مهجور
-2,ولا تشجع
-2,معطله
-2,قفلت
-2,يقفلونها
-2,قاذورات
-2,اجبار
-2,السلبيه
-2,مرتفعة
-2,المرض
-2,مريضه
-2,العام
-2,فشله
-2,فشلة
-2,خرابة
-2,غبي
-2,مكلفه
-2,اعاده 
-2,مشكلتي
-2,رفض
-2,انتقادي
-2,انتقد
-2,يفتقر
-2,شوي 
-2,لاعاده 
-2,الاودام
-2,خاطئه
-2,تعقيد
-2,ابشع
-2,يرحمونا
-2,عالفاضي
-2,انتظار
-2,الخيبه
-2,خيبه
-2,لقدمه
-2,الجن
-2,موحش
-2,مش  
-2,متاهه
-2,يعيب
-2,موناوي
-2,ماتستفيد 
-2,لتدقيق
-2,حزنت
-2,المسجونة
-2,يرمو
-2,مستاهل
-2,إيهام
-2,ومغلوب
-2,لسوئها
-2,مشوهه
-2,زبالته
-2,مايهتمون
-2,التهديدات
-2,يبيله
-2,مشكلتي 
-2,هلكنا
-2,مشكلتها
-2,شباب
-2,مأساه
-2,مليئه 
-2,مزرية
-2,متهالكه
-2,مهمله
-2,لاترتقي
-2,تعورت
-2,النقد
-2,اصابات
-2,تعتقو
-2,يقفلوا
-2,مفيش
-2,لعدم 
-2,عيبة
-2,حساسية
-2,ضحلة
-2,مستهتمرة
-2,ياساتر
-2,تحتاج 
-2,للصيانه
-2,سخيفة
-2,حسافة
-2, شديده
-2,يلهث
-2,لنفسك
-2,ننعزف
-2,تعبت
-2,نصيحه
-2,نصيحة
-2,موجودة
-2,وتغريم
-2,ملاحظة
-2,ملاحظه
-2,ومنع
-2,يهتمو  
-2,الحراره
-2,الحرارة
-2,يفطر  
-2,ذبحتنا 
-2,يشوي
-2,باتا
-2,عفا
-2,طفيفة
-2,يهتمو
-2,دبل
-2,لاتكتفي
-2,ماحصلت
-2,لاتعليق
-2,مااحب
-2,فشلونا
-2,بالوسخ
-2,الخايسه
-2,مخنوق
-2,الدشير
-2,مكسرة
-2,المهملة
-2,ساقطة
-2,مقزز
-2,مكتمه
-2,ماتنشاف
-2,قلق
-2,عفنة
-2,تقرف
-2,عيبين
-2,كنسلنا
-2,مكتظه
-2,صاخبة
-2,متدني
-2,اغاني
-2,منتهية
-2,هزلية
-2,لاتلبي
-2,معدوم
-2,مخبوله
-2,خيبته
-2,يابس
-3,سلبيات
-3,سلبي
-3,سلبيه
-3,زحمه
-3,ازدحام
-3,لاانصح
-3,مزدحم
-3,ناقص
-3,تنقصها
-3,ينقصه
-3,ناقصها
-3,خايس
-3,معفنه
-3,معفن
-3,للاسف
-3,لاتستحق
-3,اكثر
-3,بطيئين
-3,قله 
-3,يعاقب
-3,عشوائي
-3,مو
-3,"المسيء"
-3,محزن
-3,مافيه
-3,مافيها
-3,ماهي
-3,مي 
-3,مو 
-3,لتكثيف
-3,شين
-3,شينه
-3,سخيف 
-3,ممل
-3,غبيه
-3,تجلط
-3,بس 
-3,فاشل
-3,فاشله
-3,تجربه
-3,وسخ
-3,وسخه
-3,يلزم
-3,تافهه
-3,احزني
-3,غاليه
-3,غالي
-3,ملحجه
-3,مطعسه
-3,مرتفعه
-3,مبالغ 
-3,ارتفاع 
-3,زحمته
-3,تزاحم
-3,لن
-3,تفشل
-3,يفشل
-3,معازل
-3,صعب 
-3,صعوبه
-3,صعبه
-3,تصلخ
-3,خيب 
-3,مب
-3,يجبرك 
-3,وقح
-3,توقعت
-3,"سيء"
-3,يخرب
-3,تخرب
-3,تكره
-3,تكرهك
-3,خايس
-3,زباله
-3,اهمال
-3,المرض
-3,التعب
-3,مشكلتة 
-3,مقرف
-3,مقرفه
-3,مقزز
-3,مقززه
-3,مريض
-3,مسكين
-3,مؤلم
-3,ممل 
-3,مريضة
-3,ندمان
-3,ندمانة
-3,ندمت
-3,حقير
-3,حقيرة
-3,اهبل
-3,هبالة
-3,بهللة
-3,عبيط
-3,عبيطة
-3,سعره 
-3,سلبية 
-3,يعيبة
-3,نصب
-3,نصابين
-3,احتيال
-3,اخس
-3,ارحمونا
-3,استفزني
-3,استفزاز
-3,مستفز
-3,استظراف
-3,عاهه
-3,حثاله
-3,سيئة
-3,مهايطي
-3,مهايطية
-3,اذلف
-3,اذلفي
-3,الزائد
-3,شايف
-3,صداع
-3,ضياع 
-3,بملل
-3,خربانه
-3,خربان
-3, مريره
-3,ياخسارة
-3,ثقاله
-3,انخميت
-3,ولا
-3,الأسف
-3,اخلاقهم 
-3,للأسف 
-3,أتمنى
-3,لايوجد 
-3,قبيحة
-3,يحتاج
-3,سيئ
-3,مخيس
-3,مروح
-3,ملاحيس
-3,زبال
-3,حرامية 
-3,حاشريننا
-3,مخدرات
-3,مشلول
-3,عدم
-3,زبايل
-3,يفتقد
-3,روائح
-3,ولاعاد 
-3,يسرقونك
-3,معدوم 
-3,خربوه
-3,هدر
-3,الزود
-3,عنصريه
-3,ذاك 
-3,حسبي 
-3,لهدر 
-3,بلاوي 
-3,خانقة
-3,البعد
-3,فلكيه
-3,مسخره
-3,مضيعه 
-3,متسخ
-3,سيئ 
-3,مغزلنجيه
-3,مغزلجيه
-3,اقرف 
-3,الدجه
-3,المهدرة
-3,قهر
-3,الزفت 
-3,زفت
-3,هماجة
-3,همج
-3,صفر
-3,مغازل
-3,غجر
-3,الخرطي
-3,"سوء"
-3,اسوا 
-3,استخفاف
-3, فاشله
-3, للأسف
-3,سئ
-3,القذاره
-3,ولا حاجة
-3,حسافه
-3,ظالمه
-3,ظالم
-3,دجه
-3,حزن
-3,قتلنا
-3,اطقطق
-3,يغثون
-3,تبطون
-3,غثا
-3,تبطي
-3,ندامه
-3,مستحيله
-3,كارثة
-3,مخيب
-3,بايخ
-3,بايخه
-3,قل
-3,تعبان
-3,تكرم 
-3,تعيس
-3,كان 
-3,خسران
-3,يرفع
-3,يجيب 
-3,هياط
-3,متشره
-3,تشره
-3,يشرهون
-3,مازال 
-3,فضيع
-3,تخسي
-3,يخسي
-3,يخسون
-3,ريحته 
-3,دون 
-3,باغلاقه
-3,عيب
-3,التدهور
-3,حرام 
-3,تنقص
-3,متعجرفه
-3,ليست 
-3,عارمة
-3,عارمه
-3,ضعيف 
-3,ليسوا 
-3,بهرجه
-3,يعيبه
-3,مرتفع
-3,يعتبر  
-3,خساره  
-3,الكبد
-3,تعبانة
-3,تعبانه
-3,بلافايده
-3,الاوساخ
-3,وصخ
-3,صرف 
-3,قذاره
-3,بيارات
-3,يلوع 
-3,لاعت
-3,تلوع
-3,عيوب
-3,اوسخ
-3,قمامه
-3,كييب
-3,افشل 
-3,مايعيب
-3,مبالغه
-3,استهتار
-3,صدمه
-3,اضعف
-3,اقتحام
-3,تافه
-3,خرابيط
-3,دشير
-3,رخيم
-3,مايحمس
-3,ماينبلع
-3,مغشوش
-3,هيلق
-3,ارهاق
-3,اهمالها
-3,بحاجه
-3,ازعجني
-3,خابت
-3,الظنون
-3,ابعد 
-3,وسخانه 
-3,ارحموها
-3,القمامه
-3,متسخه
-3,بالسالب
-3,اتقوا
-3,البهرجه
-3,حزين
-3,استغلالين
-3,ماديين
-3,نفسيه
-3,منفسين
-3,نفسيات
-3,مفروض 
-3,الاستغلال 
-3,ماراح 
-3,وليس 
-3,تكره
-3,التعقيد
-3,اصابتني
-3,لكن 
-3,مضيعه 
-3,عاهه
-3,عاهات
-3,ماتدري
-3,الهم
-3,طويل 
-3,لردائته
-3,ابشع
-3,فاشله
-3,فقيره
-3,اخيس
-3,اسوا
-3,سيئه
-3,تتهالك
-3,يبيلها
-3,ينقصها 
-3,ايت 
-3,لاتروح
-3,مايعطون
-3,وسخ
-3,موت
-3,نار
-3, تأهيل
-3,مسكرين
-3,مخيسه
-3,تضرر 
-3,هالصلخ
-3,مخيسة
-3,قليلة 
-3,البعوض
-3,وسخة
-3,فاشلة
-3,يندمك
-3,الزحمة
-3,معفنة
-3,عيوبها
-3,تحتاج
-3,ورفض
-3,يراعون
-3,لتقليل
-3,مؤسف
-3,ويضيع
-3,فوظه
-3,عشوائيه
-3,كريهة
-3,ولا تحسين
-3,المخلفات
-3,شمس
-3,الشمس
-3,ولا تعريف 
-3,امنعونا
-3,ماتعجبني
-3,الهمج
-3,خياس
-3,المحتكرين
-3,كرهت
-3,ووصخه
-3,عيوب
-3,زحمتها
-3,وساخته
-3,صفر
-3,القاذورات
-3,متسخة
-3,ولا عدمه
-3,المرتزقة
-3,عطلانه
-3,شكاوي
-2,"الغلاء"
-3,معزوله
-2,"الغلاء"
-2,الضجه
-2,خرافات
-2,اخاف
-2,منفره
-3,تحسفت
-3,مهجور
-2,متعب
-2,ولاتستحق
-1,تكشر
-3,ماتستاهل
-3,نفايات
-3,يندمك
-3,ستندم
-2,متوهه
-2,تهان
-2,خرابيط
-3,جافيين
-3,استغلالي
-3,اوسخ
-3,مضيعه
-2,كتمه
-3,استنزاف
-2,المغبر
-2,رفض
-2,مهمل
-3,بلطجي
-3,ابشع
-1,مقاطعه
-3,مقرف
-2,النهب
-2,نصب
-2,مادي
-2,تغصبني
-3,فقير
-3,رفضوا
-2,مادي
-1,فرض
-2,مكتوم
-2,مشينه
-3,حرامي
-2,بيضيع
-1,فاضح
-1,للطمع
-2,مسرف
-1,قفل
-2,يابس
-2,صعب
-3,الخيبه
-1,فاحش
-2,زائد
-3,مخيسة
